Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2024-01-01-2024-01-31,,Jumlah transaksi:,2,Jumlah transaksi:,1,,Akhir:,0.0
,,,Total:,6645000.0,Total:,6645000.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2024-01-20 19:47,Bank,-6645000.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-20 05:38,Saldo Penjual,2970000.0,Penghasilan dari Pesanan #240110HFRCNE5C,,6645000.0,
2024-01-20 05:38,Saldo Penjual,3675000.0,Penghasilan dari Pesanan #240103UU7R60HM,,3675000.0,
