Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,52578.0
Tanggal:,2023-12-01-2023-12-31,,Jumlah transaksi:,56,Jumlah transaksi:,15,,Akhir:,0.0
,,,Total:,4612836.0,Total:,4665414.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-12-09 23:21,Bank,-99102.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-12-09 02:55,Saldo Penjual,1145.0,Penghasilan dari Pesanan #2312038S6CT5ES,,99102.0,
2023-12-08 20:42,Saldo Penjual,93380.0,Penghasilan dari Pesanan #231204BGU7WRCG,,97957.0,
2023-12-07 15:42,Saldo Penjual,4577.0,Penghasilan dari Pesanan #231206FWF9U3VJ,,4577.0,
2023-12-06 22:17,Bank,-536203.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-12-06 02:36,Saldo Penjual,17619.0,Penghasilan dari Pesanan #2312012WVKQK93,,536203.0,
2023-12-05 06:00,Saldo Penjual,10779.0,Penghasilan dari Pesanan #231129TH32P05A,,518584.0,
2023-12-05 03:22,Saldo Penjual,197650.0,Penghasilan dari Pesanan #2311300P531V25,,507805.0,
2023-12-04 15:53,Saldo Penjual,310155.0,Penghasilan dari Pesanan #2312011SKCRFQ3,,310155.0,
2023-12-03 18:35,Bank,-17619.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-12-02 18:35,Saldo Penjual,17619.0,Penghasilan dari Pesanan #2312011WQ25JYT,,17619.0,
2023-12-02 16:39,Bank,-385384.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-12-02 16:04,Saldo Penjual,39979.0,Penghasilan dari Pesanan #2312012K67WNTR,,385384.0,
2023-12-02 06:29,Saldo Penjual,116780.0,Penghasilan dari Pesanan #231127P8EAT7BS,,345405.0,
2023-12-02 03:55,Saldo Penjual,59267.0,Penghasilan dari Pesanan #231126JN85MPK6,,228625.0,
2023-12-01 19:14,Saldo Penjual,116780.0,Penghasilan dari Pesanan #231127PPRV1FTB,,169358.0,
