Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2023-07-01-2023-07-31,,Jumlah transaksi:,84,Jumlah transaksi:,11,,Akhir:,9060.0
,,,Total:,3491156.0,Total:,3482096.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2023-07-31 06:09,Saldo Penjual,9060.0,Penghasilan dari Pesanan #230725UUN5AUY0,,9060.0
2023-07-30 22:27,Bank,-236455.0,Penarikan Dana,Transaksi Selesai,0.0
2023-07-29 12:05,Saldo Penjual,29217.0,Penghasilan dari Pesanan #2307260FN9XA9B,,236455.0
2023-07-29 10:56,Saldo Penjual,87652.0,Penghasilan dari Pesanan #230725VDGECYE7,,207238.0
2023-07-28 06:06,Saldo Penjual,37508.0,Penghasilan dari Pesanan #230723R1AK8FJ6,,119586.0
2023-07-26 17:12,Saldo Penjual,51692.0,Penghasilan dari Pesanan #230724T7DSDP22,,82078.0
2023-07-26 04:27,Saldo Penjual,3416.0,Penghasilan dari Pesanan #230719BPEYHXCF,,30386.0
2023-07-26 03:38,Saldo Penjual,26970.0,Penghasilan dari Pesanan #230720FA7XDGFK,,26970.0
2023-07-25 23:47,Bank,-54125.0,Penarikan Dana,Transaksi Selesai,0.0
2023-07-25 16:14,Saldo Penjual,30566.0,Penghasilan dari Pesanan #230721HHECPPJM,,54125.0
2023-07-25 03:56,Saldo Penjual,1169.0,Penghasilan dari Pesanan #2307166E1NUEUB,,23559.0
2023-07-25 02:29,Saldo Penjual,4530.0,Penghasilan dari Pesanan #230720EX9NMCSV,,22390.0
2023-07-24 05:24,Saldo Penjual,4270.0,Penghasilan dari Pesanan #230720FQ3CU5X7,,17860.0
2023-07-23 21:13,Saldo Penjual,13590.0,Penghasilan dari Pesanan #230719DWHA6GYM,,13590.0
2023-07-23 13:13,Bank,-263874.0,Penarikan Dana,Transaksi Selesai,0.0
2023-07-22 19:21,Saldo Penjual,9060.0,Penghasilan dari Pesanan #230719CEN6YGU1,,263874.0
2023-07-22 16:49,Saldo Penjual,30566.0,Penghasilan dari Pesanan #2307178VTN52MS,,254814.0
2023-07-22 05:05,Saldo Penjual,2338.0,Penghasilan dari Pesanan #2307177EUX7N2M,,224248.0
