Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,23365.0
Tanggal:,2023-11-01-2023-11-30,,Jumlah transaksi:,67,Jumlah transaksi:,19,,Akhir:,52578.0
,,,Total:,7325357.0,Total:,7296144.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-11-10 21:28,Saldo Penjual,103385.0,Penghasilan dari Pesanan #231109576PWH0Y,,167229.0,
2023-11-10 19:08,Saldo Penjual,52578.0,Penghasilan dari Pesanan #2311071HYSDWJC,,63844.0,
2023-11-10 13:05,Saldo Penjual,6737.0,Penghasilan dari Pesanan #23110710XMUHWG,,11266.0,
2023-11-10 10:40,Saldo Penjual,4529.0,Penghasilan dari Pesanan #23110709Q9CGJ6,,4529.0,
2023-11-09 20:50,Bank,-772735.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-09 14:07,Saldo Penjual,11229.0,Penghasilan dari Pesanan #231106VBU0EQ72,,772735.0,
2023-11-09 12:09,Saldo Penjual,457411.0,Penghasilan dari Pesanan #231106UES6PTXT,,761506.0,
2023-11-09 10:10,Saldo Penjual,10779.0,Penghasilan dari Pesanan #2311070GT6NA7G,,304095.0,
2023-11-09 03:23,Saldo Penjual,35958.0,Penghasilan dari Pesanan #2310308S7XCV00,,293316.0,
2023-11-08 23:02,Saldo Penjual,25870.0,Penghasilan dari Pesanan #231106UDXTS8N6,,257358.0,
2023-11-08 20:51,Saldo Penjual,4675.0,Penghasilan dari Pesanan #231105R8DAWC0V,,231488.0,
2023-11-08 17:08,Saldo Penjual,220974.0,Penghasilan dari Pesanan #231106U72BGE6A,,226813.0,
2023-11-08 12:57,Saldo Penjual,5839.0,Penghasilan dari Pesanan #231105SM2WCPQU,,5839.0,
2023-11-07 22:04,Bank,-310019.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-07 21:24,Saldo Penjual,17979.0,Penghasilan dari Pesanan #231102JJ95B4D7,,310019.0,
2023-11-07 18:56,Saldo Penjual,175170.0,Penghasilan dari Pesanan #2310309Q46XKMH,,292040.0,
2023-11-06 20:33,Saldo Penjual,116870.0,Penghasilan dari Pesanan #231105S753MJE3,,116870.0,
2023-11-05 20:28,Bank,-479706.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-05 17:56,Saldo Penjual,473863.0,Penghasilan dari Pesanan #231103KM7XY231,,479706.0,
2023-11-05 02:34,Saldo Penjual,5843.0,Penghasilan dari Pesanan #231031C7B0258H,,5843.0,
2023-11-04 22:00,Bank,-35420.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-04 18:14,Saldo Penjual,29217.0,Penghasilan dari Pesanan #231031CAEUUEF5,,35420.0,
2023-11-04 12:17,Saldo Penjual,6203.0,Penghasilan dari Pesanan #231101G1H6X3D8,,6203.0,
2023-11-03 22:32,Bank,-16360.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-03 22:28,Saldo Penjual,4673.0,Penghasilan dari Pesanan #231030AVEMA7VJ,,16360.0,
2023-11-02 19:47,Saldo Penjual,11687.0,Penghasilan dari Pesanan #231026VT036765,,11687.0,
2023-11-01 22:24,Bank,-349654.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-11-01 18:20,Saldo Penjual,8082.0,Penghasilan dari Pesanan #231031CKP3VRKP,,349654.0,
2023-11-01 17:49,Saldo Penjual,30482.0,Penghasilan dari Pesanan #2310285E1EXHM6,,341572.0,
2023-11-01 13:51,Saldo Penjual,1169.0,Penghasilan dari Pesanan #2310298FDSPSGK,,311090.0,
2023-11-01 12:58,Saldo Penjual,286556.0,Penghasilan dari Pesanan #2310296W1X7N7T,,309921.0,
