Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2023-12-01-2023-12-31,,Jumlah transaksi:,2,Jumlah transaksi:,1,,Akhir:,0.0
,,,Total:,774300.0,Total:,774300.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-12-25 13:05,Bank,-774300.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-12-24 18:45,Saldo Penjual,124000.0,Penghasilan dari Pesanan #231222TRRE871J,,774300.0,
2023-12-18 05:41,Saldo Penjual,650300.0,Penghasilan dari Pesanan #2312121MYMF8M8,,650300.0,
