Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,350.0
Tanggal:,2020-12-01-2020-12-31,,Jumlah transaksi:,8,Jumlah transaksi:,1,,Akhir:,18925.0
,,,Total:,197745.0,Total:,179170.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2020-12-23 13:33,Saldo Penjual,15640.0,Penghasilan dari Pesanan #2012192C2RYSWA,,18925.0
2020-12-22 10:00,Saldo Penjual,3285.0,Penghasilan dari Pesanan #201217SWUTTD4S,,3285.0
2020-12-22 07:43,Bank,-179170.0,Penarikan Dana,Transaksi Selesai,0.0
2020-12-19 06:54,Saldo Penjual,110000.0,Penghasilan dari Pesanan #201212CV20ACVV,,179170.0
2020-12-19 06:29,Saldo Penjual,23740.0,Penghasilan dari Pesanan #201212CTDE1XA8,,69170.0
2020-12-18 06:01,Saldo Penjual,180.0,Penghasilan dari Pesanan #20121195SN7V9Q,,45430.0
2020-12-15 22:25,Saldo Penjual,7400.0,Penghasilan dari Pesanan #201214HSQRBHJA,,45250.0
2020-12-15 18:10,Saldo Penjual,30000.0,Penghasilan dari Pesanan #201214J1JU3H2S,,37850.0
2020-12-11 04:12,Saldo Penjual,7500.0,Penghasilan dari Pesanan #201206TY7K7K6S,,7850.0
