Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2024-02-01-2024-02-29,,Jumlah transaksi:,3,Jumlah transaksi:,3,,Akhir:,0.0
,,,Total:,3068400.0,Total:,3068400.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2024-02-18 11:34,Bank,-1500000.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-18 05:56,Saldo Penjual,1500000.0,Penghasilan dari Pesanan #2402107A21FHFF,,1500000.0,
2024-02-12 22:52,Bank,-1475500.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-12 11:27,Saldo Penjual,1475500.0,Penghasilan dari Pesanan #2402107A473WB1,,1475500.0,
2024-02-10 15:07,Bank,-92900.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-02 11:36,Saldo Penjual,92900.0,Penghasilan dari Pesanan #2401282E54E3C1,,92900.0,
