Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,420000.0
Tanggal:,2020-06-01-2020-06-30,,Jumlah transaksi:,3,Jumlah transaksi:,3,,Akhir:,0.0
,,,Total:,404995.0,Total:,824995.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2020-06-30 22:15,Bank,-404995.0,Penarikan Dana,Transaksi Selesai,0.0
2020-06-29 03:43,Saldo Penjual,495.0,Penghasilan dari Pesanan #200625NYEU3BMX,,404995.0
2020-06-28 14:10,Saldo Penjual,353500.0,Penghasilan dari Pesanan #200626RSHUEXA9,,404500.0
2020-06-27 04:09,Saldo Penjual,51000.0,Penghasilan dari Pesanan #200623HCV736TA,,51000.0
2020-06-19 06:02,Bank,-370000.0,Penarikan Dana,Transaksi Selesai,0.0
2020-06-11 14:10,Bank,-50000.0,Penarikan Dana,Transaksi Selesai,370000.0
