Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,125627.0
Tanggal:,2023-10-01-2023-10-31,,Jumlah transaksi:,81,Jumlah transaksi:,18,,Akhir:,23365.0
,,,Total:,6705859.0,Total:,6808121.0
2023-10-22 05:54,Saldo Penjual,1616.0,Penghasilan dari Pesanan #2310163N9KG8T0,,15640.0,
2023-10-21 22:52,Saldo Penjual,8181.0,Penghasilan dari Pesanan #2310176V85CCGA,,14024.0,
2023-10-21 20:27,Saldo Penjual,5843.0,Penghasilan dari Pesanan #2310189XE597V2,,5843.0,
2023-10-21 18:57,Bank,-279050.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-21 18:17,Saldo Penjual,51692.0,Penghasilan dari Pesanan #231018984CUM33,,279050.0,
2023-10-21 06:14,Saldo Penjual,1074.0,Penghasilan dari Pesanan #2310175Y1VK98N,,227358.0,
2023-10-21 05:45,Saldo Penjual,14015.0,Penghasilan dari Pesanan #231015219VNJXR,,226284.0,
2023-10-21 05:20,Saldo Penjual,4312.0,Penghasilan dari Pesanan #2310175RJGY220,,212269.0,
2023-10-20 21:18,Penyesuaian oleh Shopee,3897.0,"Kompensasi kehilangan untuk paket SPXID03681563053A pada pesanan #231011MWAPBMNE. Untuk Penjual yang mengaktifkan Asuransi Pengiriman Shopee, pengajuan klaim sedang diproses. Mohon ditunggu",,207957.0,
2023-10-20 19:31,Saldo Penjual,5389.0,Penghasilan dari Pesanan #231014VJNCYG6F,,204060.0,
2023-10-20 11:25,Saldo Penjual,198671.0,Penghasilan dari Pesanan #231019BMB9PSF4,,198671.0,
2023-10-20 10:59,Bank,-997958.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-20 02:08,Saldo Penjual,9058.0,Penghasilan dari Pesanan #2310163FK80AKQ,,997958.0,
2023-10-19 18:00,Saldo Penjual,988900.0,Penghasilan dari Pesanan #2310163J8CK6UH,,988900.0,
2023-10-18 20:50,Bank,-87253.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-18 20:28,Saldo Penjual,51692.0,Penghasilan dari Pesanan #231015180C11GT,,87253.0,
2023-10-18 03:31,Saldo Penjual,35561.0,Penghasilan dari Pesanan #231014UJP7DSE0,,35561.0,
2023-10-17 21:12,Bank,-208518.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-17 07:49,Saldo Penjual,171125.0,Penghasilan dari Pesanan #231014V2EBR9BQ,,208518.0,
2023-10-17 06:52,Saldo Penjual,23800.0,Penghasilan dari Pesanan #231012PV752T3J,,37393.0,
2023-10-17 03:09,Saldo Penjual,6581.0,Penghasilan dari Pesanan #231013SVRKRP7R,,13593.0,
2023-10-17 03:07,Saldo Penjual,7012.0,Penghasilan dari Pesanan #231012PTC5QK31,,7012.0,
2023-10-16 22:47,Bank,-505119.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-16 07:52,Saldo Penjual,8540.0,Penghasilan dari Pesanan #231010GMX0XD37,,505119.0,
2023-10-16 03:06,Saldo Penjual,1169.0,Penghasilan dari Pesanan #231011M2BH1UEX,,496579.0,
2023-10-15 11:35,Saldo Penjual,206770.0,Penghasilan dari Pesanan #231010JP0MKDYR,,495410.0,
2023-10-15 05:37,Saldo Penjual,103385.0,Penghasilan dari Pesanan #231010HJQRDH4N,,288640.0,
2023-10-15 04:54,Saldo Penjual,8540.0,Penghasilan dari Pesanan #231009FVVQPSDP,,185255.0,
2023-10-15 04:40,Saldo Penjual,28791.0,Penghasilan dari Pesanan #231010GMAAG1TU,,176715.0,
2023-10-15 03:21,Saldo Penjual,85360.0,Penghasilan dari Pesanan #231010HVFA3E5H,,147924.0,
2023-10-14 12:32,Saldo Penjual,5542.0,Penghasilan dari Pesanan #231011KFRTH88J,,62564.0,
2023-10-14 11:25,Saldo Penjual,27174.0,Penghasilan dari Pesanan #231012QBXERSGG,,57022.0,
2023-10-13 21:20,Saldo Penjual,2338.0,Penghasilan dari Pesanan #231010JK5J622J,,29848.0,
2023-10-13 21:20,Saldo Penjual,1618.0,Penghasilan dari Pesanan #231010JKVMA2J0,,27510.0,
2023-10-13 12:17,Saldo Penjual,9058.0,Penghasilan dari Pesanan #231011MH7XHDWB,,25892.0,
2023-10-13 00:35,Saldo Penjual,4877.0,Penghasilan dari Pesanan #231010GPRPP2FN,,16834.0,
2023-10-12 18:18,Saldo Penjual,1169.0,Penghasilan dari Pesanan #231011MR0MPXHW,,11957.0,
2023-10-12 13:06,Saldo Penjual,10788.0,Penghasilan dari Pesanan #231010JNHYDJ7P,,10788.0,
2023-10-12 12:50,Bank,-521038.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-11 04:54,Saldo Penjual,506586.0,Penghasilan dari Pesanan #2310067C9K8B9F,,521038.0,
2023-10-11 04:39,Saldo Penjual,9058.0,Penghasilan dari Pesanan #2310043NN6F9N2,,14452.0,
2023-10-10 16:25,Saldo Penjual,5394.0,Penghasilan dari Pesanan #231008BERFMR53,,5394.0,
2023-10-09 23:09,ShopeePay,-174593.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-09 15:20,Saldo Penjual,6436.0,Penghasilan dari Pesanan #231007ABRV0J8F,,174593.0,
2023-10-09 14:24,Saldo Penjual,17081.0,Penghasilan dari Pesanan #2310079R6WY3R7,,168157.0,
2023-10-09 14:24,Saldo Penjual,23374.0,Penghasilan dari Pesanan #2310079VVT289D,,151076.0,
2023-10-09 05:33,Saldo Penjual,14608.0,Penghasilan dari Pesanan #2310043A53KT0E,,127702.0,
2023-10-08 15:59,Saldo Penjual,11777.0,Penghasilan dari Pesanan #231007B373U3CP,,113094.0,
2023-10-08 02:32,Saldo Penjual,52591.0,Penghasilan dari Pesanan #2310066REWR9WN,,101317.0,
2023-10-07 20:44,Saldo Penjual,48726.0,Penghasilan dari Pesanan #2310043RHNS21C,,48726.0,
2023-10-07 19:23,Bank,-333644.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-07 17:04,Saldo Penjual,10788.0,Penghasilan dari Pesanan #23100313HC9NQ3,,333644.0,
2023-10-07 11:53,Saldo Penjual,43601.0,Penghasilan dari Pesanan #23100541QQP7NJ,,322856.0,
2023-10-07 04:48,Saldo Penjual,3937.0,Penghasilan dari Pesanan #230929K1RCJN7T,,279255.0,
2023-10-07 03:09,Saldo Penjual,16856.0,Penghasilan dari Pesanan #230930NFX3SR2F,,275318.0,
2023-10-05 00:36,Saldo Penjual,258462.0,Penghasilan dari Pesanan #230930N94D55PQ,,258462.0,
2023-10-04 22:12,Bank,-13485.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-04 17:28,Saldo Penjual,13485.0,Penghasilan dari Pesanan #231001QPJ4QEX7,,13485.0,
2023-10-03 19:48,Bank,-467521.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-03 19:44,Saldo Penjual,9170.0,Penghasilan dari Pesanan #230926BXFPDFEW,,467521.0,
2023-10-03 18:29,Saldo Penjual,4529.0,Penghasilan dari Pesanan #231001R8RTXF6V,,458351.0,
2023-10-03 17:38,Saldo Penjual,79517.0,Penghasilan dari Pesanan #231001S673ANJD,,453822.0,
2023-10-03 13:31,Saldo Penjual,126084.0,Penghasilan dari Pesanan #230928HUDBTSF5,,374305.0,
2023-10-03 03:23,Saldo Penjual,3424.0,Penghasilan dari Pesanan #230928FMJASURH,,248221.0,
2023-10-03 03:13,Saldo Penjual,11237.0,Penghasilan dari Pesanan #230929JUNR2WDR,,244797.0,
2023-10-03 00:01,Saldo Penjual,233560.0,Penghasilan dari Pesanan #230929KM54BW6X,,233560.0,
2023-10-02 19:38,Bank,-654741.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-02 15:17,Saldo Penjual,304581.0,Penghasilan dari Pesanan #230928HEK7EAD7,,654741.0,
2023-10-02 03:37,Saldo Penjual,40005.0,Penghasilan dari Pesanan #230928FDGW8TT4,,350160.0,
2023-10-02 03:21,Saldo Penjual,310155.0,Penghasilan dari Pesanan #230927F8G18TWB,,310155.0,
2023-10-01 19:43,Bank,-1067073.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-01 05:07,Saldo Penjual,887057.0,Penghasilan dari Pesanan #2309259JV3HGT1,,1067073.0,
2023-10-01 03:06,Saldo Penjual,54389.0,Penghasilan dari Pesanan #2309247SVCDCY0,,180016.0,
