Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,125627.0
Tanggal:,2023-10-01-2023-10-31,,Jumlah transaksi:,81,Jumlah transaksi:,18,,Akhir:,23365.0
,,,Total:,6705859.0,Total:,6808121.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-10-31 11:45,Saldo Penjual,23365.0,Penghasilan dari Pesanan #231026VPTJ0VAW,,23365.0,
2023-10-31 09:18,Bank,-203292.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-31 09:03,Saldo Penjual,5389.0,Penghasilan dari Pesanan #2310272APXNJDV,,203292.0,
2023-10-31 04:06,Saldo Penjual,9058.0,Penghasilan dari Pesanan #2310272PQX946C,,197903.0,
2023-10-31 02:58,Saldo Penjual,53937.0,Penghasilan dari Pesanan #231025TBH39M50,,188845.0,
2023-10-30 19:38,Saldo Penjual,13544.0,Penghasilan dari Pesanan #231027290YH1DU,,134908.0,
2023-10-30 14:27,Saldo Penjual,17979.0,Penghasilan dari Pesanan #23102725JYH0F2,,121364.0,
2023-10-30 04:58,Saldo Penjual,103385.0,Penghasilan dari Pesanan #231023P8364727,,103385.0,
2023-10-29 20:13,Bank,-524646.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-29 19:22,Saldo Penjual,4529.0,Penghasilan dari Pesanan #2310260HFU06QJ,,524646.0,
2023-10-29 15:02,Saldo Penjual,461727.0,Penghasilan dari Pesanan #231026VXEY0PD5,,520117.0,
2023-10-28 12:24,Saldo Penjual,58390.0,Penghasilan dari Pesanan #231025TR5Y0DR3,,58390.0,
2023-10-28 11:39,Bank,-389716.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-27 17:51,Saldo Penjual,341530.0,Penghasilan dari Pesanan #231026UMPS0SEY,,389716.0,
2023-10-27 05:45,Saldo Penjual,7012.0,Penghasilan dari Pesanan #231023NS5X060D,,48186.0,
2023-10-27 03:52,Saldo Penjual,41174.0,Penghasilan dari Pesanan #231022K49HDFHE,,41174.0,
2023-10-26 23:54,Bank,-60537.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-26 17:22,Saldo Penjual,28026.0,Penghasilan dari Pesanan #231023MXT6F3G4,,60537.0,
2023-10-26 04:21,Saldo Penjual,31703.0,Penghasilan dari Pesanan #231021GC7GSUXJ,,32511.0,
2023-10-26 02:52,Saldo Penjual,808.0,Penghasilan dari Pesanan #231020DYKM5NHB,,808.0,
2023-10-25 22:22,ShopeePay,-252281.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-23 04:59,Saldo Penjual,84056.0,Penghasilan dari Pesanan #23101892DYBEQP,,252281.0,
2023-10-23 04:43,Saldo Penjual,168225.0,Penghasilan dari Pesanan #2310189DDD4DWQ,,168225.0,
2023-10-22 22:00,Bank,-67656.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-10-22 18:00,Saldo Penjual,51692.0,Penghasilan dari Pesanan #231021GG8WQCXP,,67656.0,
2023-10-22 10:06,Saldo Penjual,324.0,Penghasilan dari Pesanan #2310176TMFNHX4,,15964.0,
