Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,5718.0
Tanggal:,2023-06-01-2023-06-30,,Jumlah transaksi:,79,Jumlah transaksi:,15,,Akhir:,0.0
,,,Total:,3059954.0,Total:,3065672.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-06-30 23:18,Bank,-103572.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-30 22:48,Saldo Penjual,1240.0,Penghasilan dari Pesanan #230627FTT1EDCV,,103572.0,
2023-06-30 21:19,Penyesuaian oleh Shopee,1350.0,"Kompensasi kehilangan untuk paket JP5239897331 pada pesanan #230606MYVAEE7E. Untuk Penjual yang mengaktifkan Asuransi Pengiriman Shopee, pengajuan klaim sedang diproses. Mohon ditunggu",,102332.0,
2023-06-30 19:39,Saldo Penjual,27060.0,Penghasilan dari Pesanan #2306248UMWRQ4Y,,100982.0,
2023-06-30 14:38,Saldo Penjual,3506.0,Penghasilan dari Pesanan #230628JRKNJRUQ,,73922.0,
2023-06-30 02:17,Saldo Penjual,19848.0,Penghasilan dari Pesanan #230625BHVMXTMP,,70416.0,
2023-06-30 02:13,Saldo Penjual,41129.0,Penghasilan dari Pesanan #230625B5C2KP4N,,50568.0,
2023-06-30 00:52,Saldo Penjual,9439.0,Penghasilan dari Pesanan #230627G22JXUET,,9439.0,
2023-06-29 12:24,Bank,-109075.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-29 04:41,Saldo Penjual,3056.0,Penghasilan dari Pesanan #23062368M6FW0R,,109075.0,
2023-06-29 04:20,Saldo Penjual,3034.0,Penghasilan dari Pesanan #2306236HT8D4SU,,106019.0,
2023-06-29 02:28,Saldo Penjual,3416.0,Penghasilan dari Pesanan #2306235DJPU29N,,102985.0,
2023-06-28 20:29,Saldo Penjual,3034.0,Penghasilan dari Pesanan #2306248MAVHW7C,,99569.0,
2023-06-28 14:44,Saldo Penjual,16794.0,Penghasilan dari Pesanan #230626D814WK7A,,96535.0,
2023-06-28 05:02,Saldo Penjual,51692.0,Penghasilan dari Pesanan #2306235HAMEB23,,79741.0,
2023-06-27 22:00,Saldo Penjual,28049.0,Penghasilan dari Pesanan #2306236PK5QESY,,28049.0,
2023-06-27 19:46,Bank,-233071.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-27 16:44,Saldo Penjual,58890.0,Penghasilan dari Pesanan #2306259K5C654R,,233071.0,
2023-06-27 03:48,Saldo Penjual,32364.0,Penghasilan dari Pesanan #2306223D8VJ1VB,,174181.0,
2023-06-27 02:42,Saldo Penjual,17081.0,Penghasilan dari Pesanan #2306222V9NX66Y,,141817.0,
2023-06-27 02:07,Saldo Penjual,124736.0,Penghasilan dari Pesanan #23062359UQSNNR,,124736.0,
2023-06-26 21:27,Bank,-351755.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-26 20:44,Saldo Penjual,1726.0,Penghasilan dari Pesanan #23062222C4C850,,351755.0,
2023-06-25 23:18,Saldo Penjual,50011.0,Penghasilan dari Pesanan #2306210APA4DSN,,350029.0,
