Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,5718.0
Tanggal:,2023-06-01-2023-06-30,,Jumlah transaksi:,79,Jumlah transaksi:,15,,Akhir:,0.0
,,,Total:,3059954.0,Total:,3065672.0
2023-06-25 15:55,Saldo Penjual,58435.0,Penghasilan dari Pesanan #2306223A6FHX9G,,300018.0,
2023-06-25 04:01,Saldo Penjual,10788.0,Penghasilan dari Pesanan #230618NMDGWK36,,241583.0,
2023-06-25 03:40,Saldo Penjual,1214.0,Penghasilan dari Pesanan #2306210Y9XRVF0,,230795.0,
2023-06-24 18:52,Saldo Penjual,54839.0,Penghasilan dari Pesanan #23062114S7BEN8,,229581.0,
2023-06-24 11:59,Saldo Penjual,60916.0,Penghasilan dari Pesanan #2306223B7BE6HF,,174742.0,
2023-06-24 06:39,Saldo Penjual,42253.0,Penghasilan dari Pesanan #230620U6N15FRV,,113826.0,
2023-06-23 18:32,Saldo Penjual,643.0,Penghasilan dari Pesanan #230614D6AHQU9P,,71573.0,
2023-06-23 16:16,Saldo Penjual,36679.0,Penghasilan dari Pesanan #230619RY650553,,70930.0,
2023-06-23 14:38,Saldo Penjual,5124.0,Penghasilan dari Pesanan #230619SERRWFDJ,,34251.0,
2023-06-23 12:48,Saldo Penjual,29127.0,Penghasilan dari Pesanan #230619SP17JKPS,,29127.0,
2023-06-22 14:01,Bank,-84085.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-22 08:45,Saldo Penjual,6833.0,Penghasilan dari Pesanan #230618PCUVQGUB,,84085.0,
2023-06-22 04:37,Saldo Penjual,11687.0,Penghasilan dari Pesanan #230619RFR2YASF,,77252.0,
2023-06-22 03:57,Saldo Penjual,32436.0,Penghasilan dari Pesanan #230617M1Y83P92,,65565.0,
2023-06-22 03:18,Saldo Penjual,30972.0,Penghasilan dari Pesanan #230616HH6F17GU,,33129.0,
2023-06-21 17:40,Saldo Penjual,2157.0,Penghasilan dari Pesanan #230618MXP00R9J,,2157.0,
2023-06-21 13:40,Bank,-675092.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-21 10:00,Saldo Penjual,206770.0,Penghasilan dari Pesanan #230619REDH3QF3,,675092.0,
2023-06-20 12:41,Saldo Penjual,1239.0,Penghasilan dari Pesanan #230615ETS99BJY,,468322.0,
2023-06-20 06:09,Saldo Penjual,971.0,Penghasilan dari Pesanan #230617KX8CX6P6,,467083.0,
2023-06-19 21:48,Saldo Penjual,1287.0,Penghasilan dari Pesanan #230615EFKYPHY3,,466112.0,
2023-06-19 10:57,Saldo Penjual,19298.0,Penghasilan dari Pesanan #230616H9N8WUHP,,464825.0,
2023-06-18 21:13,Saldo Penjual,445527.0,Penghasilan dari Pesanan #230613A87MYXSJ,,445527.0,
2023-06-18 11:48,Bank,-53940.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-17 19:08,Saldo Penjual,44029.0,Penghasilan dari Pesanan #2306115NUWJYFP,,53940.0,
2023-06-17 15:50,Saldo Penjual,9911.0,Penghasilan dari Pesanan #2306138E64D0C3,,9911.0,
2023-06-17 04:39,ShopeePay,-57791.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-17 03:06,Saldo Penjual,12961.0,Penghasilan dari Pesanan #230608U7RG1CHQ,,57791.0,
2023-06-16 20:13,Saldo Penjual,31211.0,Penghasilan dari Pesanan #230614AX6YPTNR,,44830.0,
2023-06-16 17:31,Saldo Penjual,5480.0,Penghasilan dari Pesanan #230613A9MJ5JVF,,13619.0,
2023-06-16 13:16,Saldo Penjual,515.0,Penghasilan dari Pesanan #230614C82UXS71,,8139.0,
2023-06-16 05:49,Saldo Penjual,4408.0,Penghasilan dari Pesanan #23061158D36TGP,,7624.0,
2023-06-16 04:03,Saldo Penjual,3216.0,Penghasilan dari Pesanan #230609VRDMJ61F,,3216.0,
2023-06-15 10:31,Bank,-251215.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-15 04:16,Saldo Penjual,28590.0,Penghasilan dari Pesanan #230608TJ4397H7,,251215.0,
2023-06-14 17:48,Saldo Penjual,45744.0,Penghasilan dari Pesanan #2306139KQSGD5H,,222625.0,
2023-06-14 11:21,Saldo Penjual,70693.0,Penghasilan dari Pesanan #23061275KUG30X,,176881.0,
2023-06-14 10:24,Saldo Penjual,99112.0,Penghasilan dari Pesanan #2306126F52SNHS,,106188.0,
2023-06-13 18:36,Saldo Penjual,1930.0,Penghasilan dari Pesanan #230606NYKJA3W1,,7076.0,
2023-06-13 16:44,Saldo Penjual,3431.0,Penghasilan dari Pesanan #2306127756RTBR,,5146.0,
2023-06-12 14:26,Saldo Penjual,1715.0,Penghasilan dari Pesanan #230607QSCURFDP,,1715.0,
2023-06-12 11:40,Bank,-368644.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-11 22:32,Saldo Penjual,351419.0,Penghasilan dari Pesanan #230608U8SS8P5V,,368644.0,
2023-06-10 18:26,Saldo Penjual,7529.0,Penghasilan dari Pesanan #230607RMU6DF5A,,17225.0,
2023-06-10 13:11,Saldo Penjual,643.0,Penghasilan dari Pesanan #230609VGQF64V2,,9696.0,
2023-06-10 02:02,Saldo Penjual,9053.0,Penghasilan dari Pesanan #230604FTYX5VH1,,9053.0,
2023-06-09 21:47,Bank,-89272.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-09 20:06,Saldo Penjual,643.0,Penghasilan dari Pesanan #230603DKFTVSD5,,89272.0,
2023-06-09 19:05,Saldo Penjual,88629.0,Penghasilan dari Pesanan #230608SWPH979D,,88629.0,
2023-06-08 21:06,Bank,-260836.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-08 12:05,Saldo Penjual,5718.0,Penghasilan dari Pesanan #230605K8D4TFU0,,260836.0,
2023-06-07 21:14,Saldo Penjual,22872.0,Penghasilan dari Pesanan #230606N5KQAV9C,,255118.0,
2023-06-07 07:32,Saldo Penjual,16201.0,Penghasilan dari Pesanan #230602A1XX24KM,,232246.0,
2023-06-06 12:08,Saldo Penjual,89344.0,Penghasilan dari Pesanan #230604G8P51PBP,,216045.0,
2023-06-06 02:41,Saldo Penjual,123485.0,Penghasilan dari Pesanan #23053173MKSA3R,,126701.0,
2023-06-05 17:59,Saldo Penjual,3216.0,Penghasilan dari Pesanan #230602A08CTRV8,,3216.0,
2023-06-05 16:52,Bank,-116742.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-04 21:58,Saldo Penjual,116742.0,Penghasilan dari Pesanan #2305291Y4P86RM,,116742.0,
2023-06-04 18:36,Bank,-260430.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-04 16:04,Saldo Penjual,118172.0,Penghasilan dari Pesanan #2306019D4SGCVP,,260430.0,
2023-06-03 11:02,Saldo Penjual,123890.0,Penghasilan dari Pesanan #2305315TXEXP28,,142258.0,
2023-06-02 23:29,Saldo Penjual,643.0,Penghasilan dari Pesanan #2305315C5NSCPN,,18368.0,
2023-06-02 21:26,Saldo Penjual,4574.0,Penghasilan dari Pesanan #2306018NTBRPAC,,17725.0,
2023-06-02 20:00,Saldo Penjual,11436.0,Penghasilan dari Pesanan #230531653NCK9Q,,13151.0,
2023-06-02 16:25,Saldo Penjual,1715.0,Penghasilan dari Pesanan #230531660XTSXE,,1715.0,
2023-06-01 19:03,Bank,-50152.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-06-01 19:00,Saldo Penjual,23229.0,Penghasilan dari Pesanan #2305316G171AWU,,50152.0,
2023-06-01 17:47,Saldo Penjual,3860.0,Penghasilan dari Pesanan #230526PS9X1TB5,,26923.0,
2023-06-01 10:37,Saldo Penjual,9721.0,Penghasilan dari Pesanan #230526PJ5NT4BW,,23063.0,
2023-06-01 04:43,Saldo Penjual,7624.0,Penghasilan dari Pesanan #230524JMXR8XUB,,13342.0,
