Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2023-01-01-2023-01-31,,Jumlah transaksi:,27,Jumlah transaksi:,12,,Akhir:,0.0
,,,Total:,853164.0,Total:,853164.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2023-01-31 07:41,Bank,-52200.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-30 23:24,Saldo Penjual,30972.0,Penghasilan dari Pesanan #230127EY2KV7M9,,52200.0
2023-01-30 20:18,Saldo Penjual,19298.0,Penghasilan dari Pesanan #23012594M57UBB,,21228.0
2023-01-28 17:54,Saldo Penjual,1930.0,Penghasilan dari Pesanan #2301259FFCGBCM,,1930.0
2023-01-27 19:58,Bank,-81278.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-27 19:51,Saldo Penjual,80325.0,Penghasilan dari Pesanan #23012593SXY81R,,81278.0
2023-01-24 21:14,Saldo Penjual,953.0,Penghasilan dari Pesanan #230120TNA9DJK9,,953.0
2023-01-24 19:47,Bank,-24159.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-24 01:05,Saldo Penjual,24159.0,Penghasilan dari Pesanan #230119P7KS2W0P,,24159.0
2023-01-21 20:03,Bank,-202798.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-21 13:37,Saldo Penjual,16201.0,Penghasilan dari Pesanan #230117KCEFSY2G,,202798.0
2023-01-20 13:52,Saldo Penjual,169443.0,Penghasilan dari Pesanan #230118MQA1R5X3,,186597.0
2023-01-19 22:24,Saldo Penjual,17154.0,Penghasilan dari Pesanan #230116GQ036CFU,,17154.0
2023-01-18 05:57,Bank,-84340.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-17 20:09,Saldo Penjual,55750.0,Penghasilan dari Pesanan #2301126N7R5X8T,,84340.0
2023-01-17 14:16,Saldo Penjual,14295.0,Penghasilan dari Pesanan #230115DV53V5NX,,28590.0
2023-01-17 10:30,Saldo Penjual,14295.0,Penghasilan dari Pesanan #230112567PXXB7,,14295.0
2023-01-17 09:48,Bank,-29781.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-17 09:47,Saldo Penjual,29781.0,Penghasilan dari Pesanan #230116F4XEV50T,,29781.0
2023-01-16 21:45,Bank,-116742.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-16 04:00,Saldo Penjual,107212.0,Penghasilan dari Pesanan #2301113HF1YUFM,,116742.0
2023-01-16 02:42,Saldo Penjual,9530.0,Penghasilan dari Pesanan #2301113RKRFNQ2,,9530.0
2023-01-14 19:33,Bank,-20918.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-14 06:35,Saldo Penjual,19060.0,Penghasilan dari Pesanan #230109VFF018R1,,20918.0
2023-01-14 05:04,Saldo Penjual,1858.0,Penghasilan dari Pesanan #230109U9K1XC0J,,1858.0
2023-01-11 21:18,Bank,-80143.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-11 05:31,Saldo Penjual,19060.0,Penghasilan dari Pesanan #230109U79DB4S7,,80143.0
2023-01-11 04:26,Saldo Penjual,26775.0,Penghasilan dari Pesanan #230104DFUEP9EM,,61083.0
2023-01-10 17:21,Saldo Penjual,20013.0,Penghasilan dari Pesanan #230106KXJWJK3Y,,34308.0
2023-01-09 04:23,Saldo Penjual,14295.0,Penghasilan dari Pesanan #230101838B3FKH,,14295.0
2023-01-08 12:45,Bank,-76240.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-07 21:17,Saldo Penjual,42885.0,Penghasilan dari Pesanan #230106KANG9W6U,,76240.0
2023-01-05 21:39,Saldo Penjual,14295.0,Penghasilan dari Pesanan #2301017JGMPVNG,,33355.0
2023-01-05 11:33,Saldo Penjual,19060.0,Penghasilan dari Pesanan #2301028F49DT27,,19060.0
2023-01-05 07:09,Bank,-70045.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-04 14:18,Saldo Penjual,55750.0,Penghasilan dari Pesanan #230102AMY0QXJ1,,70045.0
2023-01-04 10:16,Saldo Penjual,14295.0,Penghasilan dari Pesanan #2301016KX3X9GK,,14295.0
2023-01-02 07:20,Bank,-14520.0,Penarikan Dana,Transaksi Selesai,0.0
2023-01-02 04:29,Saldo Penjual,14520.0,Penghasilan dari Pesanan #221228S4A5U8JM,,14520.0
