Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,49277.0
Tanggal:,2020-10-01-2020-10-31,,Jumlah transaksi:,3,Jumlah transaksi:,0,,Akhir:,197004.0
,,,Total:,147727.0,Total:,0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2020-10-23 05:05,Saldo Penjual,6325.0,Penghasilan dari Pesanan #201017HSADU5C8,,197004.0
2020-10-22 11:33,Saldo Penjual,140820.0,Penghasilan dari Pesanan #201019PK9RN47E,,190679.0
