Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,23926.0
Tanggal:,2023-03-01-2023-03-31,,Jumlah transaksi:,62,Jumlah transaksi:,13,,Akhir:,4097.0
,,,Total:,2935430.0,Total:,2955259.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2023-03-08 10:39,Bank,-91823.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-07 17:28,Saldo Penjual,9535.0,Penghasilan dari Pesanan #230303F7FKNT5E,,91823.0
2023-03-07 15:19,Saldo Penjual,6433.0,Penghasilan dari Pesanan #230302DP062GGE,,82288.0
2023-03-07 10:00,Saldo Penjual,9149.0,Penghasilan dari Pesanan #230302CD3CEVCG,,75855.0
2023-03-06 09:23,Saldo Penjual,858.0,Penghasilan dari Pesanan #230301AJU68ACG,,66706.0
2023-03-05 12:44,Saldo Penjual,28681.0,Penghasilan dari Pesanan #230303EUG3UXD4,,65848.0
2023-03-05 11:08,Saldo Penjual,37167.0,Penghasilan dari Pesanan #230303FAFWYN41,,37167.0
2023-03-05 10:10,Bank,-117290.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-05 09:35,Saldo Penjual,51271.0,Penghasilan dari Pesanan #230301A17VTVV7,,117290.0
2023-03-05 05:52,Saldo Penjual,11912.0,Penghasilan dari Pesanan #230301AF5UM74Q,,66019.0
2023-03-05 03:03,Saldo Penjual,28590.0,Penghasilan dari Pesanan #2303019VVM9S1J,,54107.0
2023-03-04 21:16,Saldo Penjual,25517.0,Penghasilan dari Pesanan #2303019J6SM633,,25517.0
2023-03-04 10:37,Bank,-82339.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-04 05:06,Saldo Penjual,2287.0,Penghasilan dari Pesanan #23022627JSAV2E,,82339.0
2023-03-04 03:01,Saldo Penjual,51462.0,Penghasilan dari Pesanan #2302262AX7C3MJ,,80052.0
2023-03-03 10:39,Saldo Penjual,28590.0,Penghasilan dari Pesanan #230302CCJV4J4H,,28590.0
2023-03-02 22:08,Bank,-55947.0,Penarikan Dana,Transaksi Selesai,0.0
2023-03-02 03:32,Saldo Penjual,28590.0,Penghasilan dari Pesanan #230225UXG3YQ3J,,55947.0
2023-03-01 07:18,Saldo Penjual,3431.0,Penghasilan dari Pesanan #2302274KN76825,,27357.0
