Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,18345.0
Tanggal:,2023-05-01-2023-05-31,,Jumlah transaksi:,37,Jumlah transaksi:,9,,Akhir:,5718.0
,,,Total:,2781969.0,Total:,2794596.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2023-05-31 23:54,Saldo Penjual,5718.0,Penghasilan dari Pesanan #2305303PDS9N7A,,5718.0
2023-05-31 17:46,Bank,-255904.0,Penarikan Dana,Transaksi Selesai,0.0
2023-05-31 13:41,Saldo Penjual,225623.0,Penghasilan dari Pesanan #230528U3A1GJRP,,255904.0
2023-05-31 13:05,Saldo Penjual,4765.0,Penghasilan dari Pesanan #230528UTRUD9TQ,,30281.0
2023-05-31 07:13,Saldo Penjual,23229.0,Penghasilan dari Pesanan #230526Q7QYREQE,,25516.0
2023-05-30 22:20,Saldo Penjual,2287.0,Penghasilan dari Pesanan #230525KNF17YEE,,2287.0
2023-05-30 17:12,Bank,-1161755.0,Penarikan Dana,Transaksi Selesai,0.0
2023-05-30 03:15,Saldo Penjual,1048300.0,Penghasilan dari Pesanan #230524GURCGTD3,,1161755.0
2023-05-29 07:51,Saldo Penjual,9530.0,Penghasilan dari Pesanan #230525M89RD7YR,,113455.0
2023-05-29 03:30,Saldo Penjual,29591.0,Penghasilan dari Pesanan #230524J1N1FQFY,,103925.0
2023-05-28 09:15,Saldo Penjual,74334.0,Penghasilan dari Pesanan #230522DGUMRQ71,,74334.0
2023-05-27 13:58,Bank,-71142.0,Penarikan Dana,Transaksi Selesai,0.0
2023-05-27 10:44,Saldo Penjual,27875.0,Penghasilan dari Pesanan #230525KUJTXEJQ,,71142.0
2023-05-26 19:52,Saldo Penjual,2478.0,Penghasilan dari Pesanan #230523FM5CVVFT,,43267.0
2023-05-26 07:26,Saldo Penjual,17154.0,Penghasilan dari Pesanan #230521AH77YJFW,,40789.0
2023-05-25 18:20,Saldo Penjual,4956.0,Penghasilan dari Pesanan #230522C5EAEHCB,,23635.0
2023-05-25 05:03,Saldo Penjual,2478.0,Penghasilan dari Pesanan #2305194VQRJX6H,,18679.0
2023-05-24 22:00,Saldo Penjual,16201.0,Penghasilan dari Pesanan #230520875VYSU4,,16201.0
2023-05-24 20:55,Bank,-25349.0,Penarikan Dana,Transaksi Selesai,0.0
2023-05-24 15:41,Saldo Penjual,12865.0,Penghasilan dari Pesanan #2305207QK8394G,,25349.0
2023-05-23 11:05,Saldo Penjual,12484.0,Penghasilan dari Pesanan #2305170RED07JX,,12484.0
2023-05-22 15:11,Bank,-783315.0,Penarikan Dana,Transaksi Selesai,0.0
2023-05-22 02:14,Saldo Penjual,3431.0,Penghasilan dari Pesanan #230513JXGAAHXY,,783315.0
2023-05-21 03:54,Saldo Penjual,10483.0,Penghasilan dari Pesanan #23051705TQY27S,,779884.0
2023-05-21 03:16,Saldo Penjual,273987.0,Penghasilan dari Pesanan #230513K45PBXF5,,769401.0
2023-05-21 02:04,Saldo Penjual,109595.0,Penghasilan dari Pesanan #230516TE619E65,,495414.0
2023-05-20 08:14,Saldo Penjual,20585.0,Penghasilan dari Pesanan #2305181TPEA3E3,,385819.0
2023-05-20 04:09,Saldo Penjual,16649.0,Penghasilan dari Pesanan #230515RV8FKJR3,,365234.0
2023-05-20 02:52,Saldo Penjual,212660.0,Penghasilan dari Pesanan #230515RBQ69DCQ,,348585.0
2023-05-19 22:54,Saldo Penjual,18345.0,Penghasilan dari Pesanan #230515QTG02GVT,,135925.0
2023-05-19 15:42,Saldo Penjual,19536.0,Penghasilan dari Pesanan #230516UGC2M64F,,117580.0
2023-05-19 08:54,Saldo Penjual,457.0,Penghasilan dari Pesanan #230515RJVRE76X,,98044.0
2023-05-19 03:55,Saldo Penjual,76812.0,Penghasilan dari Pesanan #230515QQ7FHQ9X,,97587.0
2023-05-18 16:09,Saldo Penjual,9911.0,Penghasilan dari Pesanan #230516TT3M5CRT,,20775.0
2023-05-17 23:30,Saldo Penjual,10864.0,Penghasilan dari Pesanan #230512HC125C6T,,10864.0
2023-05-15 21:46,Bank,-332596.0,Penarikan Dana,Transaksi Selesai,0.0
2023-05-15 21:38,Saldo Penjual,92917.0,Penghasilan dari Pesanan #2305099NMVHCRG,,332596.0
2023-05-15 04:55,Saldo Penjual,28590.0,Penghasilan dari Pesanan #2305074K9P3Q1C,,239679.0
2023-05-14 15:10,Saldo Penjual,180117.0,Penghasilan dari Pesanan #230511ERS8TYYC,,211089.0
2023-05-12 15:52,Saldo Penjual,30972.0,Penghasilan dari Pesanan #2305099PWXNW6C,,30972.0
2023-05-12 15:18,Bank,-14295.0,Penarikan Dana,Transaksi Selesai,0.0
2023-05-12 03:39,Saldo Penjual,14295.0,Penghasilan dari Pesanan #2305086H931CEJ,,14295.0
2023-05-11 06:29,Bank,-131895.0,Penarikan Dana,Transaksi Selesai,0.0
2023-05-10 23:31,Saldo Penjual,13723.0,Penghasilan dari Pesanan #230509946AQQWW,,131895.0
2023-05-10 14:05,Saldo Penjual,118172.0,Penghasilan dari Pesanan #2305087JQPUJWC,,118172.0
2023-05-08 14:49,Bank,-18345.0,Penarikan Dana,Transaksi Selesai,0.0
