Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2019-06-01-2019-06-30,,Jumlah transaksi:,2,Jumlah transaksi:,0,,Akhir:,240000.0
,,,Total:,240000.0,Total:,0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2019-06-27 17:37,Saldo Penjual,78000.0,Penghasilan dari Pesanan #190625211537YMC,,240000.0
2019-06-19 16:49,Saldo Penjual,162000.0,Penghasilan dari Pesanan #190615005131NJD,,162000.0
