Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2022-11-01-2022-11-30,,Jumlah transaksi:,7,Jumlah transaksi:,6,,Akhir:,15000.0
,,,Total:,3135000.0,Total:,3120000.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2022-11-30 14:01,Saldo Penjual,15000.0,Penghasilan dari Pesanan #221129AQC0626U,,15000.0
2022-11-23 21:47,Bank,-15000.0,Penarikan Dana,Transaksi Selesai,0.0
2022-11-23 03:41,Saldo Penjual,15000.0,Penghasilan dari Pesanan #221118DR16UYD4,,15000.0
2022-11-13 05:59,Bank,-15000.0,Penarikan Dana,Transaksi Selesai,0.0
2022-11-13 02:46,Saldo Penjual,15000.0,Penghasilan dari Pesanan #221108GB0UUPQJ,,15000.0
2022-11-11 08:05,Bank,-855000.0,Penarikan Dana,Transaksi Selesai,0.0
2022-11-11 04:52,Saldo Penjual,855000.0,Penghasilan dari Pesanan #221107FJMB2RKD,,855000.0
2022-11-09 16:45,Bank,-855000.0,Penarikan Dana,Transaksi Selesai,0.0
2022-11-09 16:23,Saldo Penjual,855000.0,Penghasilan dari Pesanan #221106CYWT20CY,,855000.0
2022-11-06 19:44,Bank,-735000.0,Penarikan Dana,Transaksi Selesai,0.0
2022-11-06 16:44,Saldo Penjual,735000.0,Penghasilan dari Pesanan #221106BP22HVY2,,735000.0
2022-11-05 21:46,Bank,-645000.0,Penarikan Dana,Transaksi Selesai,0.0
2022-11-05 21:35,Saldo Penjual,645000.0,Penghasilan dari Pesanan #2211059JP7J42Q,,645000.0
