Waktu,Mutasi,Saldo,Keterangan
12 August 2023 15:02,-2352,0,Pemotongan biaya kelebihan berat untuk transaksi #233601333858
12 August 2023 15:02,-48,2352,Pemotongan biaya Super Seller #233601333858
12 August 2023 15:02,0,2400,Pembayaran fee promo campaign untuk transaksi #233601333858
12 August 2023 15:02,2400,2400,Remit untuk transaksi #233601333858
