Waktu,Mutasi,Saldo,Keterangan
05 March 2023 08:52,-15472,0,Pembayaran topup DANA #BL2318ENJS3SINV dengan Saldo
03 March 2023 08:04,-300,15472,Pemotongan biaya Super Seller #233549886904
03 March 2023 08:04,0,15772,Pembayaran fee promo campaign untuk transaksi #233549886904
03 March 2023 08:04,15000,15772,Remit untuk transaksi #233549886904
01 March 2023 20:29,-14950,772,Pembayaran untuk tagihan #BL2318EGCW25INV dengan Saldo
01 March 2023 20:25,14950,15722,Refund transaksi #BL2318EGCIU2INV
01 March 2023 20:24,-14950,772,Pembayaran untuk tagihan #BL2318EGCIU2INV dengan Saldo
01 March 2023 20:22,14950,15722,Refund transaksi #BL2318EGCC4CINV
