Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2023-08-01-2023-08-31,,Jumlah transaksi:,1,Jumlah transaksi:,1,,Akhir:,0.0
,,,Total:,1250000.0,Total:,1250000.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-08-26 15:43,Bank,-1250000.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-08-26 15:39,Saldo Penjual,1250000.0,Penghasilan dari Pesanan #230825H9CNBQ8D,,1250000.0,
