Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,15000.0
Tanggal:,2022-12-01-2022-12-31,,Jumlah transaksi:,33,Jumlah transaksi:,15,,Akhir:,0.0
,,,Total:,2552309.0,Total:,2567309.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2022-12-31 23:38,Bank,-104060.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-29 18:51,Saldo Penjual,60500.0,Penghasilan dari Pesanan #221227QETPAMTQ,,104060.0
2022-12-28 21:50,Saldo Penjual,29040.0,Penghasilan dari Pesanan #221224H80SCXCD,,43560.0
2022-12-27 03:38,Saldo Penjual,14520.0,Penghasilan dari Pesanan #221222BUNNAY5T,,14520.0
2022-12-26 16:53,Bank,-30099.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-26 14:29,Saldo Penjual,30099.0,Penghasilan dari Pesanan #221222CAQ30DYE,,30099.0
2022-12-23 18:02,Bank,-19305.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-22 12:50,Saldo Penjual,4680.0,Penghasilan dari Pesanan #2212182669JGDU,,19305.0
2022-12-21 02:12,Saldo Penjual,14625.0,Penghasilan dari Pesanan #221214M1JY6EQT,,14625.0
2022-12-20 19:49,Bank,-1193875.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-20 19:39,Saldo Penjual,1150000.0,Penghasilan dari Pesanan #2211252B4BS2EH,,1193875.0
2022-12-20 04:53,Saldo Penjual,14625.0,Penghasilan dari Pesanan #221212G514T2SR,,43875.0
2022-12-20 03:32,Saldo Penjual,14625.0,Penghasilan dari Pesanan #221213HV2D3QN2,,29250.0
2022-12-20 02:45,Saldo Penjual,14625.0,Penghasilan dari Pesanan #221213J1VCY3W9,,14625.0
2022-12-19 15:27,Bank,-71279.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-19 14:53,Saldo Penjual,42029.0,Penghasilan dari Pesanan #221215Q76TG3AH,,71279.0
2022-12-19 05:26,Saldo Penjual,14625.0,Penghasilan dari Pesanan #221214MGKSTYN0,,29250.0
2022-12-19 04:25,Saldo Penjual,14625.0,Penghasilan dari Pesanan #221212G28A1U7N,,14625.0
2022-12-18 12:24,Bank,-84825.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-18 05:41,Saldo Penjual,84825.0,Penghasilan dari Pesanan #221211B9N0S90M,,84825.0
2022-12-16 15:26,Bank,-263562.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-16 12:19,Saldo Penjual,136500.0,Penghasilan dari Pesanan #221213H69SXB73,,263562.0
2022-12-15 22:28,Saldo Penjual,28379.0,Penghasilan dari Pesanan #221212F622BHVS,,127062.0
2022-12-15 21:30,Saldo Penjual,19500.0,Penghasilan dari Pesanan #221212G3T7CE7U,,98683.0
2022-12-15 12:32,Saldo Penjual,29354.0,Penghasilan dari Pesanan #221212DVRHM57S,,79183.0
2022-12-15 02:23,Saldo Penjual,30329.0,Penghasilan dari Pesanan #2212097XQ3S0EY,,49829.0
2022-12-14 07:06,Saldo Penjual,19500.0,Penghasilan dari Pesanan #221212DYF40B6B,,19500.0
2022-12-14 06:45,Bank,-250075.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-14 04:39,Saldo Penjual,182000.0,Penghasilan dari Pesanan #2212085GT5YJC0,,250075.0
2022-12-14 03:51,Saldo Penjual,29000.0,Penghasilan dari Pesanan #2212084RFM51JJ,,68075.0
2022-12-14 03:03,Saldo Penjual,22500.0,Penghasilan dari Pesanan #2212072S0N6J7J,,39075.0
2022-12-14 02:11,Saldo Penjual,16575.0,Penghasilan dari Pesanan #2212096B70N8QG,,16575.0
2022-12-13 14:12,Bank,-114875.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-13 13:32,Saldo Penjual,43875.0,Penghasilan dari Pesanan #22120979TJYJF8,,114875.0
2022-12-12 12:45,Saldo Penjual,71000.0,Penghasilan dari Pesanan #22120855P2FDUE,,71000.0
2022-12-12 08:15,Bank,-205354.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-12 08:04,Saldo Penjual,176000.0,Penghasilan dari Pesanan #2212085A01227W,,205354.0
2022-12-11 19:09,Saldo Penjual,29354.0,Penghasilan dari Pesanan #2212097P7WFJYB,,29354.0
2022-12-11 11:07,Bank,-22500.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-11 02:40,Saldo Penjual,22500.0,Penghasilan dari Pesanan #2212060TVW1F2C,,22500.0
2022-12-10 18:13,Bank,-30000.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-10 18:10,Saldo Penjual,30000.0,Penghasilan dari Pesanan #22120737F1EQ4V,,30000.0
2022-12-09 20:38,Bank,-62500.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-09 14:01,Saldo Penjual,62500.0,Penghasilan dari Pesanan #221204RSRQH2HS,,62500.0
2022-12-05 07:59,Bank,-65181.0,Penarikan Dana,Transaksi Selesai,0.0
2022-12-05 03:39,Saldo Penjual,40000.0,Penghasilan dari Pesanan #2211277BAJBCGS,,65181.0
2022-12-04 08:58,ShopeePay,-49819.0,Penarikan Dana,Transaksi Selesai,25181.0
2022-12-04 03:37,Saldo Penjual,60000.0,Penghasilan dari Pesanan #22112891VQ79MH,,75000.0
