Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2023-02-01-2023-02-28,,Jumlah transaksi:,39,Jumlah transaksi:,15,,Akhir:,23926.0
,,,Total:,2089402.0,Total:,2065476.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2023-02-28 19:09,Saldo Penjual,16850.0,Penghasilan dari Pesanan #2302250S3WJBFE,,23926.0
2023-02-28 17:01,Saldo Penjual,7076.0,Penghasilan dari Pesanan #230225VNCP7D10,,7076.0
2023-02-28 15:38,Bank,-45267.0,Penarikan Dana,Transaksi Selesai,0.0
2023-02-28 12:46,Saldo Penjual,30972.0,Penghasilan dari Pesanan #230225VKJCW12X,,45267.0
2023-02-27 17:54,Saldo Penjual,14295.0,Penghasilan dari Pesanan #230224U87B0C64,,14295.0
2023-02-27 11:51,Bank,-215378.0,Penarikan Dana,Transaksi Selesai,0.0
2023-02-27 09:59,Saldo Penjual,180117.0,Penghasilan dari Pesanan #230224U92YXT9S,,215378.0
2023-02-27 08:52,Saldo Penjual,16201.0,Penghasilan dari Pesanan #230223RW0BDM1F,,35261.0
2023-02-27 03:55,Saldo Penjual,19060.0,Penghasilan dari Pesanan #230220GXYYG970,,19060.0
2023-02-26 09:05,Bank,-23825.0,Penarikan Dana,Transaksi Selesai,0.0
2023-02-26 02:01,Saldo Penjual,23825.0,Penghasilan dari Pesanan #230218BW9DYPTM,,23825.0
2023-02-25 13:51,Bank,-620078.0,Penarikan Dana,Transaksi Selesai,0.0
2023-02-25 04:18,Saldo Penjual,10959.0,Penghasilan dari Pesanan #230221KRD7S295,,620078.0
2023-02-25 04:17,Saldo Penjual,595625.0,Penghasilan dari Pesanan #230220GPX0DFGQ,,609119.0
2023-02-24 14:05,Saldo Penjual,11436.0,Penghasilan dari Pesanan #230219EXF6YK0C,,13494.0
2023-02-24 06:57,Saldo Penjual,2058.0,Penghasilan dari Pesanan #230219EX9RG1P5,,2058.0
2023-02-24 05:44,Bank,-173660.0,Penarikan Dana,Transaksi Selesai,0.0
2023-02-24 03:00,Saldo Penjual,136184.0,Penghasilan dari Pesanan #230218BG220DCW,,173660.0
2023-02-24 02:31,Saldo Penjual,643.0,Penghasilan dari Pesanan #2302154PA71JAP,,37476.0
2023-02-23 23:28,Saldo Penjual,16201.0,Penghasilan dari Pesanan #230220H7EWBGPQ,,36833.0
