Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2024-02-01-2024-02-29,,Jumlah transaksi:,63,Jumlah transaksi:,19,,Akhir:,0.0
,,,Total:,5777107.0,Total:,5777107.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2024-02-08 07:54,Saldo Penjual,22904.0,Penghasilan dari Pesanan #240202G35U3BR9,,1665961.0,
2024-02-08 02:48,Saldo Penjual,54138.0,Penghasilan dari Pesanan #240204N803N8CC,,1643057.0,
2024-02-06 22:54,Saldo Penjual,39625.0,Penghasilan dari Pesanan #240203JUG2VV60,,1588919.0,
2024-02-06 20:20,Saldo Penjual,31498.0,Penghasilan dari Pesanan #240202FW7SG51X,,1549294.0,
2024-02-06 04:46,Saldo Penjual,15981.0,Penghasilan dari Pesanan #240202GHM1NVM2,,1517796.0,
2024-02-06 03:11,Saldo Penjual,105544.0,Penghasilan dari Pesanan #2401295TPWM62P,,1501815.0,
2024-02-05 13:38,Saldo Penjual,8110.0,Penghasilan dari Pesanan #240203JMJ7SNJA,,1396271.0,
2024-02-05 12:18,Saldo Penjual,105631.0,Penghasilan dari Pesanan #240202H22XMG5P,,1388161.0,
2024-02-05 11:14,Saldo Penjual,51080.0,Penghasilan dari Pesanan #240203J83NBBEE,,1282530.0,
2024-02-05 10:27,Saldo Penjual,9952.0,Penghasilan dari Pesanan #240201DTFBGNUY,,1231450.0,
2024-02-05 09:13,Saldo Penjual,233024.0,Penghasilan dari Pesanan #240203JQFX45B9,,1221498.0,
2024-02-05 06:14,Saldo Penjual,19374.0,Penghasilan dari Pesanan #240201DTGYX55D,,988474.0,
2024-02-05 02:23,Saldo Penjual,969100.0,Penghasilan dari Pesanan #2401308ETU5WNF,,969100.0,
2024-02-04 23:10,Bank,-29064.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-04 18:57,Saldo Penjual,29064.0,Penghasilan dari Pesanan #240201D5B8DFRF,,29064.0,
2024-02-03 20:48,Bank,-1402038.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-02-03 15:14,Saldo Penjual,10684.0,Penghasilan dari Pesanan #240131AC9XEXFP,,1402038.0,
2024-02-03 12:21,Saldo Penjual,79469.0,Penghasilan dari Pesanan #240131AUWMRUXS,,1391354.0,
2024-02-03 07:00,Saldo Penjual,39288.0,Penghasilan dari Pesanan #2401270MY24MFY,,1311885.0,
2024-02-03 04:49,Saldo Penjual,907130.0,Penghasilan dari Pesanan #240131AUGDBHKR,,1272597.0,
2024-02-03 03:36,Saldo Penjual,-336.0,Penghasilan dari Pesanan #240127203Q07K1,,365467.0,
2024-02-02 21:17,Saldo Penjual,8752.0,Penghasilan dari Pesanan #240201CVVSTUNB,,365803.0,
2024-02-02 02:48,Saldo Penjual,35862.0,Penghasilan dari Pesanan #240125SCX33S6T,,357051.0,
2024-02-02 00:40,Saldo Penjual,5812.0,Penghasilan dari Pesanan #24012822566UJ0,,321189.0,
2024-02-01 23:10,Saldo Penjual,202630.0,Penghasilan dari Pesanan #2401283V9YRKP1,,315377.0,
2024-02-01 16:45,Saldo Penjual,112747.0,Penghasilan dari Pesanan #240131B4P3RV2Q,,112747.0,
