Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,0.0
Tanggal:,2024-01-01-2024-01-31,,Jumlah transaksi:,52,Jumlah transaksi:,21,,Akhir:,0.0
,,,Total:,5190795.0,Total:,5190795.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2024-01-07 03:23,Saldo Penjual,57221.0,Penghasilan dari Pesanan #240101QET4951P,,57221.0,
2024-01-06 15:34,Bank,-1999554.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-06 04:24,Saldo Penjual,1938156.0,Penghasilan dari Pesanan #240103V8SD4M56,,1999554.0,
2024-01-06 04:16,Saldo Penjual,4177.0,Penghasilan dari Pesanan #240101PJQ1U4P2,,61398.0,
2024-01-06 03:36,Saldo Penjual,57221.0,Penghasilan dari Pesanan #240101NJPQ2MRY,,57221.0,
2024-01-05 22:35,Bank,-70144.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-05 21:20,Saldo Penjual,6163.0,Penghasilan dari Pesanan #240102SAQW6ASD,,70144.0,
2024-01-05 20:29,Saldo Penjual,33802.0,Penghasilan dari Pesanan #240102SFWB2N2E,,63981.0,
2024-01-05 05:19,Saldo Penjual,1189.0,Penghasilan dari Pesanan #231228DMBX7C5X,,30179.0,
2024-01-05 00:57,Saldo Penjual,28990.0,Penghasilan dari Pesanan #231231MDDDY3DU,,28990.0,
2024-01-04 23:05,Bank,-10564.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-04 14:05,Saldo Penjual,10564.0,Penghasilan dari Pesanan #240101Q8NGUG6F,,10564.0,
2024-01-03 22:16,Bank,-157035.0,Penarikan Dana,Transaksi Selesai,0.0,
2024-01-03 00:39,Saldo Penjual,7929.0,Penghasilan dari Pesanan #240101P6R7UKQB,,157035.0,
2024-01-02 17:51,Saldo Penjual,4756.0,Penghasilan dari Pesanan #240101PJVGARQU,,149106.0,
2024-01-02 16:44,Saldo Penjual,3434.0,Penghasilan dari Pesanan #240101PJ6GJ2US,,144350.0,
2024-01-02 15:57,Saldo Penjual,140916.0,Penghasilan dari Pesanan #231228CF3EVV73,,140916.0,
