Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,4097.0
Tanggal:,2023-04-01-2023-04-30,,Jumlah transaksi:,54,Jumlah transaksi:,12,,Akhir:,18345.0
,,,Total:,2027083.0,Total:,2012835.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo,
2023-04-30 17:06,Saldo Penjual,18345.0,Penghasilan dari Pesanan #2304049AN83JC3,,18345.0,
2023-04-25 22:47,Bank,-106206.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-23 02:04,Saldo Penjual,14295.0,Penghasilan dari Pesanan #2304169CKHBEMF,,106206.0,
2023-04-20 06:08,Saldo Penjual,12389.0,Penghasilan dari Pesanan #230407FD049UVK,,91911.0,
2023-04-20 04:33,Saldo Penjual,77122.0,Penghasilan dari Pesanan #230409NHDYDXT8,,79522.0,
2023-04-19 21:14,Penyesuaian oleh Shopee,2400.0,"Kompensasi kehilangan untuk paket 10007025472454 pada pesanan #230408H1TYXK9V. Untuk Penjual yang mengaktifkan Asuransi Pengiriman Shopee, pengajuan klaim sedang diproses. Mohon ditunggu",,2400.0,
2023-04-18 14:52,Bank,-14295.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-18 03:30,Saldo Penjual,14295.0,Penghasilan dari Pesanan #2304144E2XBMVJ,,14295.0,
2023-04-17 08:26,Bank,-149716.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-16 18:55,Saldo Penjual,14295.0,Penghasilan dari Pesanan #23041200JKAPQA,,149716.0,
2023-04-16 06:11,Saldo Penjual,21061.0,Penghasilan dari Pesanan #2304143P3026T9,,135421.0,
2023-04-16 02:28,Saldo Penjual,14295.0,Penghasilan dari Pesanan #230411TVF7HXY3,,114360.0,
2023-04-15 23:13,Saldo Penjual,14295.0,Penghasilan dari Pesanan #23041443XDQNNW,,100065.0,
2023-04-15 19:24,Saldo Penjual,85770.0,Penghasilan dari Pesanan #230409NK00MDQC,,85770.0,
2023-04-15 18:47,Bank,-164392.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-15 16:34,Saldo Penjual,109595.0,Penghasilan dari Pesanan #230410R7E3BU1U,,164392.0,
2023-04-15 16:33,Saldo Penjual,54797.0,Penghasilan dari Pesanan #230412V8F445YC,,54797.0,
2023-04-14 10:29,Bank,-474927.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-14 05:57,Saldo Penjual,25159.0,Penghasilan dari Pesanan #230411S6Y9N2UD,,474927.0,
2023-04-14 04:53,Saldo Penjual,76716.0,Penghasilan dari Pesanan #230409NCTGK911,,449768.0,
2023-04-14 03:14,Saldo Penjual,7243.0,Penghasilan dari Pesanan #230405B6X4TCU0,,373052.0,
2023-04-14 00:42,Saldo Penjual,1144.0,Penghasilan dari Pesanan #230410R85NRN3B,,365809.0,
2023-04-13 19:05,Saldo Penjual,6862.0,Penghasilan dari Pesanan #230330SE8G60F0,,364665.0,
2023-04-13 07:13,Saldo Penjual,47269.0,Penghasilan dari Pesanan #230405BQ9EBTH3,,357803.0,
