Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,4097.0
Tanggal:,2023-04-01-2023-04-30,,Jumlah transaksi:,54,Jumlah transaksi:,12,,Akhir:,18345.0
,,,Total:,2027083.0,Total:,2012835.0
2023-04-13 03:41,Saldo Penjual,2573.0,Penghasilan dari Pesanan #230406D438KPWT,,310534.0,
2023-04-13 03:10,Saldo Penjual,15486.0,Penghasilan dari Pesanan #230406D2M6PMEW,,307961.0,
2023-04-13 03:07,Saldo Penjual,219190.0,Penghasilan dari Pesanan #230404838KQAV7,,292475.0,
2023-04-12 20:05,Saldo Penjual,6480.0,Penghasilan dari Pesanan #230407GGBMFJ06,,73285.0,
2023-04-12 17:45,Saldo Penjual,11436.0,Penghasilan dari Pesanan #230406DVTHK6CF,,66805.0,
2023-04-12 13:59,Saldo Penjual,32402.0,Penghasilan dari Pesanan #230408J7HUXKS5,,55369.0,
2023-04-12 08:56,Saldo Penjual,8672.0,Penghasilan dari Pesanan #2304048DKEF0BJ,,22967.0,
2023-04-11 22:01,Saldo Penjual,14295.0,Penghasilan dari Pesanan #230409NNEDREMV,,14295.0,
2023-04-11 21:21,Bank,-245040.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-11 19:27,Saldo Penjual,6433.0,Penghasilan dari Pesanan #2304011M456SST,,245040.0,
2023-04-11 17:50,Saldo Penjual,16201.0,Penghasilan dari Pesanan #230408K9R41WCF,,238607.0,
2023-04-11 14:39,Saldo Penjual,219190.0,Penghasilan dari Pesanan #230408JJ9HRTJG,,222406.0,
2023-04-11 08:40,Saldo Penjual,3216.0,Penghasilan dari Pesanan #230406DFT3WSSP,,3216.0,
2023-04-10 22:03,Bank,-29448.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-10 18:58,Saldo Penjual,6433.0,Penghasilan dari Pesanan #230408HGRHP43H,,29448.0,
2023-04-10 18:58,Saldo Penjual,2287.0,Penghasilan dari Pesanan #230408HGTEQRA2,,23015.0,
2023-04-10 11:04,Saldo Penjual,20728.0,Penghasilan dari Pesanan #230407FXC24M77,,20728.0,
2023-04-09 19:05,Bank,-18488.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-09 16:01,Saldo Penjual,1715.0,Penghasilan dari Pesanan #230405BV70F5TV,,18488.0,
2023-04-09 15:11,Saldo Penjual,14486.0,Penghasilan dari Pesanan #230406D09B3M5M,,16773.0,
2023-04-08 10:53,Saldo Penjual,2287.0,Penghasilan dari Pesanan #230407EG1T7S0U,,2287.0,
2023-04-07 22:39,Bank,-504232.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-07 21:21,Saldo Penjual,4360.0,Penghasilan dari Pesanan #23040482UUK3NE,,504232.0,
2023-04-07 05:00,Saldo Penjual,6433.0,Penghasilan dari Pesanan #230330RJVMKHDM,,499872.0,
2023-04-07 03:10,Saldo Penjual,2382.0,Penghasilan dari Pesanan #2304048XWSR3BQ,,493439.0,
2023-04-06 08:35,Saldo Penjual,161438.0,Penghasilan dari Pesanan #2304035XYXKXT0,,491057.0,
2023-04-06 02:25,Saldo Penjual,74334.0,Penghasilan dari Pesanan #2304010F0BGU4V,,329619.0,
2023-04-05 12:37,Saldo Penjual,227767.0,Penghasilan dari Pesanan #2304035MF9WTG8,,255285.0,
2023-04-05 08:09,Saldo Penjual,6433.0,Penghasilan dari Pesanan #23040231CV9KQM,,27518.0,
2023-04-04 13:15,Saldo Penjual,9649.0,Penghasilan dari Pesanan #230329P7NEF3GC,,21085.0,
2023-04-04 03:38,Saldo Penjual,11436.0,Penghasilan dari Pesanan #230331UJ37WYY5,,11436.0,
2023-04-04 03:36,Bank,-221180.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-03 22:12,Saldo Penjual,11436.0,Penghasilan dari Pesanan #230325CE1WXPWA,,221180.0,
2023-04-03 21:01,Saldo Penjual,1144.0,Penghasilan dari Pesanan #230329NGFS9U70,,209744.0,
2023-04-03 19:35,Saldo Penjual,118172.0,Penghasilan dari Pesanan #230328K2Q1VAJX,,208600.0,
2023-04-03 16:47,Saldo Penjual,83948.0,Penghasilan dari Pesanan #230329Q2MB3N89,,90428.0,
2023-04-03 14:38,Saldo Penjual,6480.0,Penghasilan dari Pesanan #230401VESCP2VJ,,6480.0,
2023-04-02 22:30,Bank,-30972.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-02 04:21,Saldo Penjual,30972.0,Penghasilan dari Pesanan #230328JMEXU1H4,,30972.0,
2023-04-01 20:46,Bank,-53939.0,Penarikan Dana,Transaksi Selesai,0.0,
2023-04-01 19:12,Saldo Penjual,47269.0,Penghasilan dari Pesanan #230328M71NPQKQ,,53939.0,
2023-04-01 15:51,Saldo Penjual,2573.0,Penghasilan dari Pesanan #230328KU99P6G4,,6670.0,
