Waktu,Mutasi,Saldo,Keterangan
10 April 2023 08:09,-14950,0,Pembayaran untuk tagihan #BL2318GSNZ3RINV dengan Saldo
10 April 2023 08:09,14575,14950,Penambahan dana no. tiket #T407870404
06 April 2023 22:59,375,375,Injection Promo Cashback Sicepat periode Februari 2023
06 April 2023 16:01,-61250,0,Pencairan dana no. tiket #C201238486 berhasil
05 April 2023 20:20,-1250,61250,Pemotongan biaya Super Seller #233573232036
05 April 2023 20:20,62500,62500,Remit untuk transaksi #233573232036
